GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
100189335,0,0,0,0,0,0
100189221,0,0,0,0,0,0
100189282,0,0,0,0,0,0
100189209,0,0,0,0,0,0
100189136,0.2773,0,0.2953,0.3256,0,0
100189388,0,0,0.2953,0,0,0
100189281,0,0,0,0,0,0
4992,0.07918,0.09058,0.2866,0.1115,0.1206,0.07994
100189296,0.2773,0,0,0.3256,0,0.2471
100189062,0,0,0.2912,0.3211,0,0.2437
100189020,0,0.3173,0.2953,0,0,0
100189270,0,0,0.2912,0,0,0.2437
26184,0,0.09276,0.06475,0.0238,0,0.03612
7752,4.353,4.669,3.532,3.64,3.59,4.172
4210,0.03547,0.03478,0.03237,0.005948,0.02106,0.004514
283876,0.1716,0.1122,0.1914,0.1823,0.1444,0.05825
10127,17.62,17.67,18.93,15.88,16.25,14.58
91151,5.183,5.455,4.636,5.859,5.688,5.678
7627,5.552,5.575,4.342,5.149,5.126,5.327
4993,0.01408,0.1289,0.1199,0.1157,0.1024,0.08781
105371059,2.538,3.195,2.838,2.698,2.521,2.616
100463285,0,0,0,0.0971,0.06138,0.1053
54925,6.751,7.161,6.504,6.025,6.396,6.097
7727,5.336,6.051,5.763,5.266,5.501,5.685
146434,1.551,1.75,1.551,1.189,1.12,1.392
79903,18.56,18.69,19.38,18.36,18.69,19.05
102465134,18.85,20.53,20.78,22.65,18.18,19.39
646174,0.1269,0.2903,0.2026,0.07447,0.07908,0.06781
23059,12.24,12.85,11.52,11.18,11.55,11.98
197358,0.7747,0.644,0.7449,0.7395,0.8661,0.7474
101929732,0.1356,0.09442,0.1632,0.173,0.1593,0.09979
105371060,0.7399,0.8205,0.7153,0.6381,0.7922,0.6187
84464,4.11,4.212,4.474,3.475,3.832,3.744
1773,6.739,6.34,7.14,6.607,6.55,6.423
10131,30.66,30.03,39.03,35.58,30.99,27.39
1387,19.77,19.72,22.56,18.43,18.29,19.88
102724927,0.04297,0.08193,0.07625,0.05045,0.08929,0.0638
115,4.668,5.292,4.628,5.195,4.549,5.014
105371062,0.07564,0,0,0,0.02619,0.06738
6345,0.6852,0.6308,0.3891,0.6895,0.8508,0.6046
100507501,1.174,1.113,0.9853,1.277,1.487,1.045
105371063,0,0.1952,0.09085,0.1002,0.266,0.2281
7023,4.22,4.934,5.343,3.749,3.829,4.02
84662,13.53,13.83,17.78,15.28,17.05,16.39
101926896,1.057,1.209,1.007,2.09,1.849,0.5946
100529144,6.719,7.416,8.709,7.731,8.152,8.022
51025,11.35,13.59,14.72,14.6,14.95,12.95
79585,5.928,5.969,7.538,6.439,6.448,6.94
114990,3.78,3.975,5.866,7.026,6.004,6.475
9093,26.99,27.6,29.65,28.12,26.59,22.69
57407,10.2,11.3,10.59,11.99,10.6,12.12
3163,14.6,16.01,15.41,15.76,15.45,14.83
29965,29.65,30.51,34.35,31.1,33.14,30.71
342346,0.7191,0.7855,0.894,0.9096,0.911,0.7439
124402,11.32,12.45,14.71,13.15,12.77,13.4
23295,14.02,13.53,18.13,15.36,15.77,14.53
102466731,0,0.3129,1.165,0.3211,1.421,0.9747
